epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.331,2.2247,4.1597,2.02098,0.30238,0.25078,0.1967,0.08118,2.05793,4.28509,2.00867,0.00332215,0.00332215,0.00332215
2,212.94,1.94908,3.18668,1.84122,0.40544,0.29476,0.27557,0.12373,1.98534,3.57604,2.0839,0.00663352,0.00663352,0.00663352
3,318.292,1.97136,2.82274,1.86931,0.37017,0.31888,0.26042,0.10642,2.16536,4.35549,2.42365,0.00992289,0.00992289,0.00992289
4,423.622,1.98292,2.66542,1.95937,0.32154,0.18118,0.11344,0.05047,2.60105,3.82014,2.64906,0.009901,0.009901,0.009901
5,528.708,1.9238,2.4768,1.89401,0.35981,0.32013,0.25449,0.1153,2.02636,2.78359,2.07776,0.009868,0.009868,0.009868
6,633.314,1.86048,2.30363,1.85935,0.57353,0.37978,0.41489,0.1951,1.86523,2.33487,1.93962,0.009835,0.009835,0.009835
7,738.258,1.83101,2.19709,1.83449,0.60814,0.43351,0.46507,0.22017,1.79979,2.15545,1.92813,0.009802,0.009802,0.009802
8,844.333,1.78386,2.1188,1.79292,0.58132,0.44534,0.46047,0.214,1.75607,2.0575,1.80518,0.009769,0.009769,0.009769
9,949.923,1.75298,2.04028,1.751,0.60096,0.48335,0.52063,0.25499,1.71687,1.95651,1.83957,0.009736,0.009736,0.009736
10,1054.71,1.7347,1.96127,1.75704,0.6059,0.50158,0.49721,0.24807,1.71919,1.89667,1.82045,0.009703,0.009703,0.009703
11,1159.38,1.70891,1.91622,1.72725,0.69104,0.49993,0.56345,0.27513,1.68297,1.82993,1.76282,0.00967,0.00967,0.00967
12,1264.19,1.68779,1.86706,1.70313,0.68363,0.50885,0.56996,0.29503,1.64378,1.68369,1.7455,0.009637,0.009637,0.009637
13,1369.4,1.67713,1.81379,1.70281,0.72601,0.58679,0.63985,0.32769,1.61861,1.65547,1.71616,0.009604,0.009604,0.009604
14,1474.09,1.65995,1.74397,1.68753,0.71276,0.49727,0.56981,0.28272,1.74383,1.79521,1.87223,0.009571,0.009571,0.009571
15,1578.85,1.64294,1.67838,1.66793,0.80373,0.56568,0.66734,0.36713,1.54559,1.54863,1.66013,0.009538,0.009538,0.009538
16,1683.57,1.63114,1.67525,1.65246,0.74991,0.5655,0.66005,0.35335,1.63479,1.51929,1.7264,0.009505,0.009505,0.009505
17,1788.74,1.61619,1.64931,1.63971,0.80647,0.62794,0.70256,0.37314,1.54611,1.41179,1.62783,0.009472,0.009472,0.009472
18,1893.62,1.60078,1.58157,1.61384,0.75985,0.5861,0.65003,0.34023,1.63202,1.53871,1.71219,0.009439,0.009439,0.009439
19,1998.47,1.58499,1.52768,1.61304,0.7519,0.5468,0.60978,0.33359,1.65085,1.59678,1.77735,0.009406,0.009406,0.009406
20,2103.39,1.57464,1.53214,1.5958,0.84393,0.6453,0.73264,0.41536,1.53926,1.32935,1.63595,0.009373,0.009373,0.009373
