epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.539,2.11448,3.61224,1.94828,0.34283,0.25299,0.23109,0.10002,2.03261,3.84895,2.14664,0.000474735,0.000474735,0.000474735
2,215.664,1.94814,2.71912,1.90872,0.46474,0.34046,0.31604,0.13788,2.01374,2.77793,2.15794,0.000932237,0.000932237,0.000932237
3,321.036,1.91184,2.44116,1.90982,0.448,0.34026,0.31491,0.14076,2.00597,2.43789,2.05829,0.00137088,0.00137088,0.00137088
4,428.094,1.86184,2.29202,1.85063,0.54087,0.39289,0.40685,0.18167,1.88683,2.39516,1.93592,0.00134412,0.00134412,0.00134412
5,534.006,1.79702,2.13809,1.80901,0.52768,0.41366,0.42786,0.19974,1.84892,2.23871,1.92144,0.00131582,0.00131582,0.00131582
6,640.952,1.74761,2.04459,1.77123,0.50349,0.4215,0.41051,0.17508,1.80623,2.17819,1.84158,0.00128753,0.00128753,0.00128753
7,747.475,1.72404,1.93881,1.73745,0.67488,0.48265,0.55583,0.28061,1.73404,1.85255,1.81352,0.00125923,0.00125923,0.00125923
8,853.622,1.70429,1.89495,1.72128,0.65618,0.50443,0.56043,0.28639,1.667,1.77738,1.76272,0.00123094,0.00123094,0.00123094
9,962.264,1.66099,1.80517,1.67769,0.7052,0.49865,0.56196,0.27365,1.7044,1.96483,1.74879,0.00120265,0.00120265,0.00120265
10,1069.51,1.63263,1.714,1.66443,0.73374,0.54022,0.63009,0.32381,1.65806,1.64254,1.75841,0.00117435,0.00117435,0.00117435
11,1177.24,1.60891,1.68904,1.64346,0.76297,0.54405,0.6332,0.32824,1.62809,1.59587,1.7139,0.00114606,0.00114606,0.00114606
12,1285.26,1.59089,1.64579,1.62794,0.74533,0.62625,0.6943,0.37018,1.53807,1.45754,1.64159,0.00111776,0.00111776,0.00111776
13,1394.13,1.59857,1.62653,1.64384,0.79483,0.58869,0.68652,0.34823,1.61155,1.50249,1.7069,0.00108947,0.00108947,0.00108947
14,1503.03,1.55788,1.54158,1.59977,0.79312,0.6243,0.71314,0.37874,1.55985,1.37447,1.63174,0.00106118,0.00106118,0.00106118
15,1610.89,1.54131,1.49234,1.57651,0.79429,0.60827,0.69714,0.36596,1.56006,1.42931,1.65165,0.00103288,0.00103288,0.00103288
16,1718.46,1.53753,1.46832,1.5749,0.80854,0.63488,0.72448,0.41138,1.51136,1.35393,1.62075,0.00100459,0.00100459,0.00100459
17,1827.56,1.52527,1.44981,1.56974,0.85182,0.66576,0.762,0.42517,1.52838,1.2473,1.63033,0.000976293,0.000976293,0.000976293
18,1936.85,1.49971,1.37348,1.5476,0.8388,0.66735,0.76438,0.44382,1.44779,1.19048,1.54813,0.000947999,0.000947999,0.000947999
19,2043.66,1.48846,1.35152,1.53512,0.87528,0.70199,0.79682,0.47175,1.41731,1.1354,1.52918,0.000919704,0.000919704,0.000919704
20,2150.79,1.46617,1.33063,1.52318,0.87617,0.67386,0.77984,0.47337,1.42107,1.1175,1.53158,0.00089141,0.00089141,0.00089141
21,2257.67,1.4671,1.30568,1.50813,0.86385,0.6875,0.77859,0.45783,1.44938,1.13047,1.54371,0.000863116,0.000863116,0.000863116
22,2364.48,1.45286,1.26058,1.5025,0.88685,0.68763,0.78936,0.48161,1.39181,1.09894,1.50032,0.000834822,0.000834822,0.000834822
23,2471.05,1.43141,1.23879,1.48994,0.87769,0.71358,0.79958,0.46394,1.44227,1.08695,1.53994,0.000806528,0.000806528,0.000806528
24,2578.14,1.42264,1.2151,1.48367,0.87662,0.71124,0.80654,0.4761,1.43209,1.03148,1.549,0.000778233,0.000778233,0.000778233
25,2686.73,1.38769,1.16697,1.46367,0.91344,0.7228,0.81977,0.5078,1.35742,0.98257,1.46861,0.000749939,0.000749939,0.000749939
26,2793.47,1.38877,1.14477,1.45975,0.88918,0.73753,0.8208,0.51242,1.3504,0.95967,1.47036,0.000721645,0.000721645,0.000721645
27,2900.92,1.36907,1.12674,1.4377,0.89407,0.75219,0.83684,0.52924,1.31691,0.91811,1.43833,0.000693351,0.000693351,0.000693351
28,3009.45,1.36291,1.1108,1.43738,0.89786,0.74583,0.82879,0.52805,1.29888,0.90904,1.42939,0.000665057,0.000665057,0.000665057
29,3117.67,1.34603,1.07776,1.41523,0.9005,0.75643,0.84237,0.54379,1.27113,0.87846,1.40457,0.000636762,0.000636762,0.000636762
30,3224.59,1.33641,1.08033,1.41841,0.91614,0.75043,0.8418,0.55376,1.26147,0.85805,1.39317,0.000608468,0.000608468,0.000608468
31,3331.53,1.31682,1.03897,1.40118,0.92401,0.74846,0.84344,0.55119,1.27539,0.84118,1.39371,0.000580174,0.000580174,0.000580174
32,3438.3,1.29084,1.02271,1.39175,0.92358,0.73925,0.83888,0.54142,1.2885,0.86081,1.41056,0.00055188,0.00055188,0.00055188
33,3545.41,1.28672,1.00883,1.37489,0.91722,0.75919,0.84081,0.55479,1.26137,0.84636,1.38616,0.000523586,0.000523586,0.000523586
34,3653.3,1.26586,0.98653,1.35383,0.92986,0.76305,0.84977,0.56564,1.23033,0.81224,1.36214,0.000495291,0.000495291,0.000495291
35,3765.57,1.25954,0.99161,1.35522,0.92753,0.7609,0.8473,0.56196,1.22196,0.80708,1.34853,0.000466997,0.000466997,0.000466997
36,3888.19,1.23803,0.95369,1.34497,0.90525,0.77565,0.8498,0.57243,1.19402,0.78164,1.33412,0.000438703,0.000438703,0.000438703
37,4000.36,1.21558,0.91721,1.32118,0.9321,0.76439,0.8573,0.58399,1.18128,0.76447,1.32964,0.000410409,0.000410409,0.000410409
38,4110.46,1.21482,0.9169,1.32289,0.90726,0.77992,0.85095,0.57419,1.19618,0.77488,1.33941,0.000382115,0.000382115,0.000382115
39,4221.81,1.20142,0.90977,1.31739,0.92933,0.78137,0.85873,0.59544,1.14875,0.75107,1.30012,0.00035382,0.00035382,0.00035382
40,4332.06,1.18677,0.88242,1.2996,0.93079,0.7814,0.86208,0.59587,1.13714,0.74145,1.29038,0.000325526,0.000325526,0.000325526
41,4479.47,1.14653,0.71464,1.29791,0.93089,0.77469,0.86063,0.58806,1.15073,0.74389,1.30123,0.000297232,0.000297232,0.000297232
42,4588.55,1.10892,0.66792,1.26899,0.93576,0.78562,0.86159,0.58708,1.16451,0.73598,1.31165,0.000268938,0.000268938,0.000268938
43,4697.06,1.07917,0.6552,1.2492,0.91868,0.79701,0.86105,0.59654,1.13148,0.71898,1.28298,0.000240644,0.000240644,0.000240644
44,4806.66,1.04829,0.635,1.22553,0.92872,0.79313,0.86352,0.60562,1.12116,0.70027,1.27638,0.000212349,0.000212349,0.000212349
45,4918.27,1.03167,0.621,1.21775,0.9363,0.79452,0.86667,0.61557,1.09187,0.68792,1.25677,0.000184055,0.000184055,0.000184055
